,airline,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
35340,Air_India,Delhi,Evening,one,Evening,Hyderabad,Economy,24.83,49,5989
86656,SpiceJet,Bangalore,Early_Morning,one,Late_Night,Delhi,Economy,18.33,15,7488
259205,Vistara,Bangalore,Night,one,Morning,Chennai,Business,11.17,8,44280
5577,Air_India,Delhi,Evening,one,Night,Mumbai,Economy,3.75,29,2476
81831,Indigo,Mumbai,Morning,one,Afternoon,Chennai,Economy,7.42,34,1890
47511,Air_India,Mumbai,Evening,one,Late_Night,Delhi,Economy,8.58,24,8411
141615,Indigo,Kolkata,Early_Morning,one,Afternoon,Bangalore,Economy,6.5,44,3465
28943,Vistara,Delhi,Morning,one,Night,Hyderabad,Economy,11.42,3,9840
98589,GO_FIRST,Bangalore,Night,one,Early_Morning,Mumbai,Economy,6.33,27,5177
191040,Vistara,Chennai,Evening,one,Morning,Mumbai,Economy,16.58,28,5076
66014,GO_FIRST,Mumbai,Night,one,Morning,Kolkata,Economy,10.0,26,7304
290163,Vistara,Chennai,Morning,one,Night,Delhi,Business,10.92,46,60160
215150,Air_India,Delhi,Night,one,Late_Night,Bangalore,Business,5.58,40,52522
281735,Vistara,Hyderabad,Morning,one,Evening,Bangalore,Business,10.75,28,38099
197969,Indigo,Chennai,Evening,one,Night,Kolkata,Economy,7.08,4,10066
109329,Indigo,Bangalore,Morning,one,Afternoon,Kolkata,Economy,5.17,47,6548
52812,GO_FIRST,Mumbai,Afternoon,one,Night,Delhi,Economy,9.08,49,6293
286322,Vistara,Hyderabad,Morning,one,Night,Chennai,Business,11.75,23,79349
232575,Vistara,Mumbai,Evening,one,Morning,Bangalore,Business,15.08,31,62448
141477,Indigo,Kolkata,Early_Morning,zero,Morning,Bangalore,Economy,2.67,43,3862
195965,SpiceJet,Chennai,Morning,zero,Morning,Bangalore,Economy,1.33,29,1996
295271,Vistara,Chennai,Evening,one,Night,Bangalore,Business,6.17,37,60260
142557,Air_India,Kolkata,Morning,one,Night,Hyderabad,Economy,11.92,2,11844
205678,Vistara,Chennai,Early_Morning,one,Evening,Hyderabad,Economy,10.08,38,5451
255119,Vistara,Bangalore,Evening,one,Evening,Kolkata,Business,24.75,36,62188
190566,Vistara,Chennai,Night,one,Morning,Mumbai,Economy,14.5,25,4637
10830,Air_India,Delhi,Evening,one,Night,Bangalore,Economy,4.5,6,10208
93244,Air_India,Bangalore,Early_Morning,one,Evening,Delhi,Economy,10.92,46,3674
271560,Vistara,Kolkata,Morning,one,Morning,Hyderabad,Business,23.42,29,52175
156831,AirAsia,Hyderabad,Afternoon,one,Night,Delhi,Economy,7.92,37,2228
118530,Indigo,Bangalore,Morning,zero,Morning,Chennai,Economy,1.08,37,1604
244913,Vistara,Bangalore,Evening,zero,Night,Delhi,Business,2.75,3,34043
115370,Vistara,Bangalore,Evening,one,Early_Morning,Hyderabad,Economy,11.92,48,5322
37931,Vistara,Delhi,Afternoon,two_or_more,Morning,Chennai,Economy,19.5,19,7490
151064,Vistara,Kolkata,Morning,one,Night,Chennai,Economy,12.67,33,7021
219143,Vistara,Delhi,Early_Morning,zero,Morning,Hyderabad,Business,2.17,2,26296
138768,GO_FIRST,Kolkata,Evening,zero,Evening,Bangalore,Economy,2.58,25,3860
282554,Vistara,Hyderabad,Morning,one,Early_Morning,Bangalore,Business,23.33,42,38099
91313,AirAsia,Bangalore,Night,one,Morning,Delhi,Economy,10.92,37,3467
140420,AirAsia,Kolkata,Night,zero,Late_Night,Bangalore,Economy,2.75,36,3862
180364,Air_India,Hyderabad,Night,zero,Night,Chennai,Economy,1.25,48,2080
209862,Air_India,Delhi,Afternoon,one,Afternoon,Mumbai,Business,24.58,31,29776
116698,Vistara,Bangalore,Evening,one,Morning,Chennai,Economy,15.08,16,6791
141001,Vistara,Kolkata,Evening,one,Evening,Bangalore,Economy,24.08,39,8111
30635,Indigo,Delhi,Afternoon,one,Night,Hyderabad,Economy,5.58,17,4393
16902,SpiceJet,Delhi,Evening,one,Evening,Bangalore,Economy,23.08,35,3569
136398,Air_India,Kolkata,Evening,one,Morning,Bangalore,Economy,17.92,8,13524
292329,Air_India,Chennai,Night,one,Evening,Mumbai,Business,23.67,32,61649
175761,Indigo,Hyderabad,Afternoon,one,Night,Kolkata,Economy,7.33,45,2057
10503,AirAsia,Delhi,Early_Morning,one,Afternoon,Bangalore,Economy,8.17,4,10672
276249,Vistara,Hyderabad,Night,zero,Night,Delhi,Business,2.25,31,24234
27137,Vistara,Delhi,Early_Morning,two_or_more,Evening,Kolkata,Economy,12.42,40,9349
222780,Air_India,Delhi,Evening,one,Morning,Chennai,Business,16.92,16,45257
265816,Air_India,Kolkata,Night,one,Morning,Mumbai,Business,9.33,28,45776
291557,Vistara,Chennai,Early_Morning,one,Evening,Mumbai,Business,9.58,21,49553
69314,Vistara,Mumbai,Morning,one,Evening,Kolkata,Economy,7.67,44,5949
31059,Indigo,Delhi,Night,one,Early_Morning,Hyderabad,Economy,9.08,20,4141
197970,Indigo,Chennai,Morning,one,Afternoon,Kolkata,Economy,5.42,4,10523
265442,Vistara,Kolkata,Afternoon,one,Night,Mumbai,Business,30.25,22,74273
194208,Vistara,Chennai,Early_Morning,one,Morning,Bangalore,Economy,25.75,7,12318
5172,Indigo,Delhi,Early_Morning,one,Evening,Mumbai,Economy,8.67,27,3546
94342,GO_FIRST,Bangalore,Early_Morning,one,Night,Mumbai,Economy,15.92,3,13498
295394,Air_India,Chennai,Evening,one,Morning,Bangalore,Business,15.92,39,60260
193720,Vistara,Chennai,Night,one,Night,Mumbai,Economy,24.5,48,6219
261636,Air_India,Kolkata,Evening,one,Afternoon,Delhi,Business,19.75,8,48079
167754,GO_FIRST,Hyderabad,Early_Morning,zero,Early_Morning,Bangalore,Economy,1.0,24,1776
126604,Vistara,Kolkata,Morning,one,Evening,Delhi,Economy,7.67,44,6461
242989,Vistara,Mumbai,Afternoon,one,Night,Chennai,Business,7.83,23,49613
43397,SpiceJet,Mumbai,Early_Morning,zero,Morning,Delhi,Economy,2.25,4,5943
83942,Indigo,Mumbai,Evening,one,Night,Chennai,Economy,5.17,49,1890
60639,Vistara,Mumbai,Evening,zero,Evening,Bangalore,Economy,1.75,45,2074
9761,GO_FIRST,Delhi,Early_Morning,one,Evening,Mumbai,Economy,12.42,48,6146
